model,sigma,d_s,Kc,nu,nu_err,beta,beta_err,beta_over_nu,beta_over_nu_err,max_abs_K_nearest_minus_Kc
1D LR3,0.2,10.0,2.04,0.5,0.10715294117647056,0.5191804300600682,0.03878588051634271,1.0383608601201364,0.07757176103268543,0.0
1D LR3,0.25,8.0,2.16,0.5,0.1120235294117647,0.525126895472413,0.02243938694191809,1.050253790944826,0.04487877388383618,0.0
1D LR3,0.3,6.666666666666667,2.32,0.5,0.11689411764705883,0.5025663892589509,0.02193157357713925,1.0051327785179018,0.0438631471542785,0.0
1D LR3,0.35,5.714285714285714,2.62,0.68,0.13248000000000004,0.5079586029322282,0.026560757067024748,0.7469979454885708,0.03905993686327169,0.0
1D LR3,0.38,5.2631578947368425,2.86,0.77,0.11876117647058836,0.49453161963213166,0.02572654344437097,0.642248856665106,0.033411095382299964,0.0
1D LR3,0.4,5.0,3.06,0.87,0.13418470588235296,0.5005906304521913,0.027777805930414873,0.5753915292553923,0.031928512563695256,0.010000000000000231
1D LR3,0.405,4.938271604938271,3.2,0.91,0.1477411764705882,0.4360515180854272,0.027236551019005167,0.4791774924015683,0.02993027584506062,0.0
1D LR3,0.41,4.878048780487805,3.3,0.98,0.19092705882352937,0.43007625127586485,0.032592875229235416,0.43885331762843355,0.033258035948199406,0.0
1D LR3,0.415,4.819277108433735,3.4,1.02,0.16559999999999997,0.39626923576569306,0.0363685038401889,0.3884992507506795,0.035655395921753825,0.0
1D LR3,0.42,4.761904761904762,3.5,1.06,0.17209411764705873,0.3826163751903927,0.03786142116910109,0.3609588445192384,0.03571832185764253,0.0
1D LR3,0.425,4.705882352941177,3.7,1.16,0.20716235294117638,0.3125333180062805,0.026940980536056938,0.2694252741433453,0.02322498322073874,0.0
1D LR3,0.43,4.651162790697675,3.9,1.46,0.03555529411764717,0.31787469053286754,0.03272173991524432,0.2177223907759367,0.02241215062687967,0.0
1D LR3,0.435,4.597701149425287,4.1,1.7,0.12419999999999995,0.3225764662104457,0.05415513794875847,0.18975086247673278,0.03185596349926969,0.0
1D LR3,0.44,4.545454545454546,4.5,1.95,0.11689411764705883,0.2639039837923829,0.017806391227472282,0.1353353763037861,0.009131482680755016,0.0
1D LR3,0.445,4.49438202247191,4.9,2.45,0.08767058823529404,0.26237810442795884,0.03188309412528191,0.10709310384814645,0.013013507806237513,0.0
